RLD,RS,TE_code,active_ingredients,company,dosageform_route,drug_class,drug_name,marketing_status,review_priority,strength,use,rare,hereditary,medical_area,specific,gender,year
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,0.8MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,1MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,1.2MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,1.4MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,1.6MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,lesinurad,IRONWOOD PHARMS INC,TABLET;ORAL,Type 1 - New Molecular Entity,Zurampic,Discontinued,STANDARD,200MG,To treat high blood uric acid levels associated with gout,no,no,nephrology,gout,adults,12/22/2015
Yes,No,None,daclatasvir,BRISTOL-MYERS SQUIBB,TABLET;ORAL,Type 1 - New Molecular Entity,Daklinza,Discontinued,PRIORITY,EQ 30MG BASE,To treat chronic hepatitis C virus (HCV) genotype 3 infections,no,no,hepatitis C,liver,adults,7/24/2015
Yes,No,None,daclatasvir,BRISTOL-MYERS SQUIBB,TABLET;ORAL,Type 1 - New Molecular Entity,Daklinza,Discontinued,PRIORITY,EQ 60MG BASE,To treat chronic hepatitis C virus (HCV) genotype 3 infections,no,no,hepatitis C,liver,adults,7/24/2015
Yes,No,None,daclatasvir,BRISTOL-MYERS SQUIBB,TABLET;ORAL,Type 1 - New Molecular Entity,Daklinza,Discontinued,PRIORITY,EQ 90MG BASE,To treat chronic hepatitis C virus (HCV) genotype 3 infections,no,no,hepatitis C,liver,adults,7/24/2015
Yes,Yes,None,flibanserin,SPROUT PHARMS,TABLET;ORAL,Type 1 - New Molecular Entity,Addyi,Prescription,STANDARD,100MG,"To treat acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women",no,no,mental health,mental health,women,8/18/2015
TBD,No,None,evolocumab,AMGEN INC,INJECTABLE;INJECTION,,Repatha,Prescription,N/A; Orphan,140MG/ML,"
			",no,no,cardiovascular,heart,adults,8/27/2015
Yes,No,None,edoxaban,DAIICHI SANKYO INC,TABLET;ORAL,Type 1 - New Molecular Entity,Savaysa,Prescription,STANDARD,EQ 15MG BASE,To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problem,no,no,cardiovascular,blood clots,adults,1/8/2015
Yes,No,None,edoxaban,DAIICHI SANKYO INC,TABLET;ORAL,Type 1 - New Molecular Entity,Savaysa,Prescription,STANDARD,EQ 30MG BASE,To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problem,no,no,cardiovascular,blood clots,adults,1/8/2015
Yes,Yes,None,edoxaban,DAIICHI SANKYO INC,TABLET;ORAL,Type 1 - New Molecular Entity,Savaysa,Prescription,STANDARD,EQ 60MG BASE,To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problem,no,no,cardiovascular,blood clots,adults,1/8/2015
Yes,Yes,None,elbasvir and grazoprevir,MERCK SHARP DOHME,TABLET;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Zepatier,Prescription,PRIORITY,50MG;100MG,To treat patients with chronic hepatitis C virus (HCV) genotypes 1 and 4 infections in adult patients.,no,no,hepatitis C,liver,adults,1/28/2016
Yes,Yes,None,plecanatide,SALIX,TABLET;ORAL,Type 1 - New Molecular Entity,Trulance,Prescription,STANDARD,3MG,To treat Chronic Idiopathic Constipation (CIC) in adult patients.,no,no,digestive,constipation,adults,1/19/2017
Yes,Yes,None,lutetium Lu 177 dotatate,AAA USA INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Lutathera,Prescription,PRIORITY; Orphan,10mCi/ML,To treat a type of cancer that affects the pancreas or gastrointestinal tract called gastroenteropancreatic neuroendocrine tumors (GEP-NETs).,no,no,cancer,digestive,adults,1/26/2018
No,No,None,,EVOLUS INC,INJECTABLE;INJECTION,,Jeuveau,Prescription,N/A,100 UNITS,,no,no,cosmetic,eyebrows,adults,2/1/2019
Yes,No,None,avapritinib,BLUEPRINT MEDICINES,TABLET;ORAL,Type 1 - New Molecular Entity,Ayvakit,Prescription,PRIORITY; Orphan,100MG,To treat adults with unresectable or metastatic gastrointestinal stromal tumor (GIST),no,no,cancer,gastrointestinal,adults,1/9/2020
Yes,No,None,avapritinib,BLUEPRINT MEDICINES,TABLET;ORAL,Type 1 - New Molecular Entity,Ayvakit,Prescription,PRIORITY; Orphan,200MG,To treat adults with unresectable or metastatic gastrointestinal stromal tumor (GIST),no,no,cancer,gastrointestinal,adults,1/9/2020
Yes,Yes,None,avapritinib,BLUEPRINT MEDICINES,TABLET;ORAL,Type 1 - New Molecular Entity,Ayvakit,Prescription,PRIORITY; Orphan,300MG,To treat adults with unresectable or metastatic gastrointestinal stromal tumor (GIST),no,no,cancer,gastrointestinal,adults,1/9/2020
Yes,No,None,vericiguat,MERCK SHARP DOHME,TABLET;ORAL,Type 1 - New Molecular Entity,Verquvo,Prescription,PRIORITY,2.5MG,To treat chronic heart failure,no,no,cardiovascular,heart,adults,1/19/2021
Yes,No,None,vericiguat,MERCK SHARP DOHME,TABLET;ORAL,Type 1 - New Molecular Entity,Verquvo,Prescription,PRIORITY,5MG,To treat chronic heart failure,no,no,cardiovascular,heart,adults,1/19/2021
Yes,Yes,None,vericiguat,MERCK SHARP DOHME,TABLET;ORAL,Type 1 - New Molecular Entity,Verquvo,Prescription,PRIORITY,10MG,To treat chronic heart failure,no,no,cardiovascular,heart,adults,1/19/2021
Yes,Yes,None,cabotegravir and rilpivirine,VIIV HLTHCARE,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",Type 1 - New Molecular Entity and Type 4 - New Combination,Cabenuva,Prescription,PRIORITY,400MG/2ML (200MG/ML);600MG/2ML (300MG/ML),To treat HIV,no,no,HIV,HIV,adults,1/21/2021
Yes,Yes,None,cabotegravir and rilpivirine,VIIV HLTHCARE,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",Type 1 - New Molecular Entity and Type 4 - New Combination,Cabenuva,Prescription,PRIORITY,600MG/3ML (200MG/ML);900MG/3ML (300MG/ML),To treat HIV,no,no,HIV,HIV,adults,1/21/2021
Yes,Yes,None,voclosporin,AURINIA,CAPSULE;ORAL,Type 1 - New Molecular Entity,Lupkynis,Prescription,PRIORITY,7.9MG,To treat lupus nephritis,no,no,nephrology,autoimmune,adults,1/22/2021
Yes,Yes,None,tepotinib,EMD SERONO INC,TABLET;ORAL,Type 1 - New Molecular Entity,Tepmetko,Prescription,PRIORITY; Orphan,EQ 225MG BASE,To treat non-small cell lung cancer,no,no,cancer,Lung,adults,2/3/2021
Yes,Yes,None,umbralisib,TG THERAPS,TABLET;ORAL,Type 1 - New Molecular Entity,Ukoniq,Prescription,PRIORITY; Orphan,EQ 200MG BASE,For the treatment of certain patients with marginal zone lymphoma and follicular lymphoma,no,no,cancer,blood,adults,2/5/2021
No,No,None,evinacumab-dgnb,REGENERON PHARMACEUTICALS,SOLUTION; INJECTION,,Evkeeza,Prescription,N/A; Orphan,345MG/2.3ML,For the treatment of homozygous familial hypercholesterolemia,no,no,cardiovascular,high cholesterol,adults,2/11/2021
No,No,None,evinacumab-dgnb,REGENERON PHARMACEUTICALS,SOLUTION; INJECTION,,Evkeeza,Prescription,N/A; Orphan,1200MG/8ML,For the treatment of homozygous familial hypercholesterolemia,no,no,cardiovascular,high cholesterol,adults,2/11/2021
Yes,Yes,None,trilacicilib,G1 THERAP,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Cosela,Prescription,PRIORITY,EQ 300MG BASE/VIAL,To mitigate chemotherapy-induced myelosuppression in adult patients with small cell lung cancer,no,no,cancer,Lung,adults,2/12/2021
Yes,Yes,None,casimersen,SAREPTA THERAPS INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Amondys 45,Prescription,PRIORITY; Orphan,100MG/2ML (50MG/ML),For the treatment of Duchenne muscular dystrophy,no,no,muscular,muscular,adults,2/25/2021
Yes,Yes,None,fosdenopterin,ORIGIN,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Nulibry,Prescription,PRIORITY; Orphan,EQ 9.5MG BASE/VIAL,To treat patients with the rare genetic disease molybdenum cofactor deficiency Type A,no,no,muscular,muscular,infants andchildren,2/26/2021
Yes,Yes,None,melphalan flufenamide,ONCOPEPTIDES AB,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Pepaxto,Prescription,PRIORITY; Orphan,20MG/VIAL,For the treatment of certain patients with relapsed or refractory multiple myeloma,no,no,cancer,blood,adults,2/26/2021
TBD,No,None,serdexmethylphenidate and,COMMCAVE THERAPEUTICS SA,CAPSULE;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Azstarys,Prescription,STANDARD,26.1MG/5.2MG,For the treatment of Attention Deficit Hyperactivity,no,no,mental health,mental health,children and adults,3/3/2021
TBD,No,None,serdexmethylphenidate and,COMMCAVE THERAPEUTICS SA,CAPSULE;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Azstarys,Prescription,STANDARD,39.2MG/7.8MG,For the treatment of Attention Deficit Hyperactivity,no,no,mental health,mental health,adults,3/3/2021
TBD,No,None,serdexmethylphenidate and,COMMCAVE THERAPEUTICS SA,CAPSULE;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Azstarys,Prescription,STANDARD,52.3MG/10.4MG,For the treatment of Attention Deficit Hyperactivity,no,no,mental health,mental health,adults,3/3/2021
TBD,No,None,tivozanib,AVEO PHARMACEUTICALS INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Fotivda,Prescription,STANDARD,0.89MG,To treat patients with renal cell carcinoma,no,no,cancer,nephrology,adults,3/10/2021
TBD,No,None,tivozanib,AVEO PHARMACEUTICALS INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Fotivda,Prescription,STANDARD,1.34MG,To treat patients with renal cell carcinoma,no,no,cancer,nephrology,adults,3/10/2021
TBD,No,None,teprotumumab-trbw,HORIZON THERAPEUTICS IRELAND,INJECTABLE;INJECTION,,Tepezza,Prescription,N/A; Orphan,500MG,To treat Thyroid eye disease,no,no,neurology,eye,adults,1/21/2020
Yes,Yes,None,tazemetostat,EPIZYME INC,TABLET;ORAL,Type 1 - New Molecular Entity,Tazverik,Prescription,PRIORITY; Orphan,EQ 200MG BASE,To treat epithelioid sarcoma,no,no,cancer,skin,adults,1/23/2020
Yes,No,None,"
			",BRAINTREE LABS,FOR SOLUTION;ORAL,Type 1 - New Molecular Entity,Pizensy,Discontinued,STANDARD,10GM,To treat chronic idiopathic constipation (CIC) in adults,no,no,digestive,constipation,adults,2/12/2020
TBD,No,,"
			",BRAINTREE LABS,SOLUTION;ORAL,Type 1 - New Molecular Entity,Pizensy,Prescription,STANDARD,20G,To treat chronic idiopathic constipation (CIC) in adults,no,no,digestive,constipation,adults,2/12/2020
Yes,Yes,None,"
			",ESPERION THERAPS INC,TABLET;ORAL,Type 1 - New Molecular Entity,Nexletol,Prescription,STANDARD,180MG,To treat adults with heterozygous familial hypercholesterolemia or established atherosclerotic cardiovascular disease who require additional lowering of LDL-C,yes,yes,cardiovascular,cholesterol,adults,2/21/2020
No,No,None,eptinezumab-jjmr,"Lundbeck Seattle BioPharmaceuticals, Inc.",INJECTABLE;INJECTION,,Vyepti,Prescription,N/A,100MG/ML,For the preventive treatment of migraine in adults,no,no,neurology,migraine,adults,2/21/2020
Yes,Yes,None,amisulpride,ACACIA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Barhemsys,Prescription,STANDARD,5MG/2ML (2.5MG/ML),To help prevent nausea and vomiting after surgery,no,no,other,nausea,adults,2/26/2020
Yes,Yes,None,amisulpride,ACACIA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Barhemsys,Prescription,STANDARD,10MG/4ML (2.5MG/ML),To help prevent nausea and vomiting after surgery,no,no,other,nausea,adults,2/26/2020
Yes,Yes,None,rimegepant,BIOHAVEN PHARM,"TABLET, ORALLY DISINTEGRATING;ORAL",Type 1 - New Molecular Entity,Nurtec ODT,Prescription,PRIORITY,EQ 75MG BASE,To treat migraine,no,no,neurology,migraine,adults,2/27/2020
No,No,None,isatuximab,SANOFI AVENTIS US,INJECTABLE;INJECTION,,Sarclisa,Prescription,N/A; Orphan,100MG/5ML (20MG/ML),To treat multiple myloma,no,no,cancer,blood,adults,3/2/2020
No,No,None,isatuximab,SANOFI AVENTIS US,INJECTABLE;INJECTION,,Sarclisa,Prescription,N/A; Orphan,500MG/25ML (20MG/ML),To treat multiple myloma,no,no,cancer,blood,adults,3/2/2020
Yes,No,None,osilodrostat,RECORDATI RARE,TABLET;ORAL,Type 1 - New Molecular Entity,Isturisa,Prescription,STANDARD; Orphan,EQ 1MG BASE,To treat adults with Cushing’s disease who either cannot undergo pituitary gland surgery or have undergone the surgery but still have the disease,no,no,endocrinology,Cushing disease,adults,3/6/2020
Yes,No,None,osilodrostat,RECORDATI RARE,TABLET;ORAL,Type 1 - New Molecular Entity,Isturisa,Prescription,STANDARD; Orphan,EQ 5MG BASE,To treat adults with Cushing’s disease who either cannot undergo pituitary gland surgery or have undergone the surgery but still have the disease,no,no,endocrinology,Cushing disease,adults,3/6/2020
Yes,Yes,None,osilodrostat,RECORDATI RARE,TABLET;ORAL,Type 1 - New Molecular Entity,Isturisa,Prescription,STANDARD; Orphan,EQ 10MG BASE,To treat adults with Cushing’s disease who either cannot undergo pituitary gland surgery or have undergone the surgery but still have the disease,no,no,endocrinology,Cushing disease,adults,3/6/2020
Yes,No,None,ozanimod,CELGENE INTL,CAPSULE;ORAL,Type 1 - New Molecular Entity,Zeposia,Prescription,STANDARD,0.23MG,To treat relapsing forms of multiple sclerosis,no,no,immune disease,multiple sclerosis,adults,3/25/2020
Yes,No,None,ozanimod,CELGENE INTL,CAPSULE;ORAL,Type 1 - New Molecular Entity,Zeposia,Prescription,STANDARD,0.46MG,To treat relapsing forms of multiple sclerosis,no,no,immune disease,multiple sclerosis,adults,3/25/2020
Yes,Yes,None,ozanimod,CELGENE INTL,CAPSULE;ORAL,Type 1 - New Molecular Entity,Zeposia,Prescription,STANDARD,0.92MG,To treat relapsing forms of multiple sclerosis,no,no,immune disease,multiple sclerosis,adults,3/25/2020
Yes,No,None,selumetinib,ASTRAZENECA,CAPSULE;ORAL,Type 1 - New Molecular Entity,Koselugo,Prescription,PRIORITY; Orphan,EQ 10MG BASE,"To treat neurofibromatosis type 1, a genetic disorder of the nervous system causing tumors to grow on nerves",yes,yes,cancer,nervous system,adults,4/10/2020
Yes,Yes,None,selumetinib,ASTRAZENECA,CAPSULE;ORAL,Type 1 - New Molecular Entity,Koselugo,Prescription,PRIORITY; Orphan,EQ 25MG BASE,"To treat neurofibromatosis type 1, a genetic disorder of the nervous system causing tumors to grow on nerves",yes,yes,cancer,nervous system,adults,4/10/2020
Yes,No,None,tucatinib,SEAGEN,TABLET;ORAL,Type 1 - New Molecular Entity,Tukysa,Prescription,PRIORITY; Orphan,50MG,To treat advanced unresectable or metastatic HER2-positive breast cancer,no,no,cancer,breast,female,4/17/2020
Yes,Yes,None,tucatinib,SEAGEN,TABLET;ORAL,Type 1 - New Molecular Entity,Tukysa,Prescription,PRIORITY; Orphan,150MG,To treat advanced unresectable or metastatic HER2-positive breast cancer,no,no,cancer,breast,adults,4/17/2020
Yes,No,None,pemigatinib,INCYTE CORP,TABLET;ORAL,Type 1 - New Molecular Entity,Pemazyre,Prescription,PRIORITY; Orphan,4.5MG,"To treat certain patients with cholangiocarcinoma, a rare form of cancer that forms in bile ducts",no,no,cancer,digestive,adults,4/17/2020
Yes,No,None,pemigatinib,INCYTE CORP,TABLET;ORAL,Type 1 - New Molecular Entity,Pemazyre,Prescription,PRIORITY; Orphan,9MG,"To treat certain patients with cholangiocarcinoma, a rare form of cancer that forms in bile ducts",no,no,cancer,digestive,adults,4/17/2020
Yes,Yes,None,pemigatinib,INCYTE CORP,TABLET;ORAL,Type 1 - New Molecular Entity,Pemazyre,Prescription,PRIORITY; Orphan,13.5MG,"To treat certain patients with cholangiocarcinoma, a rare form of cancer that forms in bile ducts",no,no,cancer,digestive,adults,4/17/2020
TBD,No,None,sacituzumab govitecan-hziy,IMMUNOMEDICS INC,INJECTABLE;INJECTION,,Trodelvy,Prescription,N/A,180MG,To treat adult patients with metastatic triple-negative breast cancer who received at least two prior therapies for metastatic disease,no,no,cancer,breast,female,4/22/2020
Yes,No,None,opicapone,NEUROCRINE,CAPSULE;ORAL,Type 1 - New Molecular Entity,Ongentys,Prescription,STANDARD,25MG,To treat patients with Parkinson’s disease experiencing “off” episodes,no,no,muscular,Parkinson’s disease,adults,4/24/2020
Yes,Yes,None,opicapone,NEUROCRINE,CAPSULE;ORAL,Type 1 - New Molecular Entity,Ongentys,Prescription,STANDARD,50MG,To treat patients with Parkinson’s disease experiencing “off” episodes,no,no,muscular,Parkinson’s disease,adults,4/24/2020
Yes,No,None,capmatinib,NOVARTIS PHARM,TABLET;ORAL,Type 1 - New Molecular Entity,Tabrecta,Prescription,PRIORITY; Orphan,EQ 150MG BASE,To treat patients with non small cell lung cancer,no,no,cancer,Lung,adults,5/6/2020
Yes,Yes,None,capmatinib,NOVARTIS PHARM,TABLET;ORAL,Type 1 - New Molecular Entity,Tabrecta,Prescription,PRIORITY; Orphan,EQ 200MG BASE,To treat patients with non small cell lung cancer,no,no,cancer,Lung,adults,5/6/2020
Yes,No,None,,LOXO ONCOLOGY INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Retevmo,Prescription,PRIORITY; Orphan,40MG,To treat lung and thyroid cancers,no,no,cancer,Lung and thyroid,adults,5/8/2020
Yes,Yes,None,,LOXO ONCOLOGY INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Retevmo,Prescription,PRIORITY; Orphan,80MG,To treat lung and thyroid cancers,no,no,cancer,Lung and thyroid,adults,5/8/2020
Yes,Yes,None,ripretinib,DECIPHERA PHARMS,TABLET;ORAL,Type 1 - New Molecular Entity,Qinlock,Prescription,PRIORITY; Orphan,50MG,To treat advanced gastrointestinal-stromal tumors,no,no,cancer,digestive,adults,5/15/2020
Yes,Yes,None,fluoroestradiol F18,ZIONEXA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Cerianna,Prescription,STANDARD,50ML (4-100mCi/ML),Diagnostic imaging agent for certain patients with breast cancer,no,no,cancer,cancer location,adults,5/20/2020
Yes,Yes,None,artesunate,AMIVAS,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Artesunate,Prescription,PRIORITY; Orphan,110MG/VIAL,To treat severe malaria,no,no,vector-borne diseases,malaria,adults,5/26/2020
Yes,No,None,abametapir,DR REDDYS LABS SA,LOTION;TOPICAL,Type 1 - New Molecular Entity,Xeglyze,Discontinued,STANDARD,0.74%,To treat head lice,no,no,vector-borne diseases,lice,adults,7/24/2020
Yes,Yes,None,flortaucipir F18,AVID RADIOPHARMS INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Tauvid,Prescription,PRIORITY,30ML (8.1-51mCi/ML),Diagnostic agent for patients with Alzheimer’s disease,no,no,mental health,Alzheimer’s disease,adults,5/28/2020
Yes,Yes,None,flortaucipir F18,AVID RADIOPHARMS INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Tauvid,Prescription,PRIORITY,50ML (8.1-51mCi/ML),Diagnostic agent for patients with Alzheimer’s disease,no,no,mental health,Alzheimer’s disease,adults,5/28/2020
No,No,None,inebilizumab-cdon,VIELA BIO,INJECTABLE;INJECTION,,Uplizna,Prescription,N/A; Orphan,100MG/10ML,To treat neuromyelitis optica spectrum disorder,no,no,neurology,eye,adults,6/11/2020
Yes,Yes,None,lurbinectedin,JAZZ,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Zepzelca,Prescription,PRIORITY; Orphan,4MG/VIAL,To treat metastatic small cell lung cancer,no,no,cancer,Lung,adults,6/15/2020
Yes,Yes,None,triheptanoin,ULTRAGENYX PHARM INC,LIQUID;ORAL,Type 1 - New Molecular Entity,Dojolvi,Prescription,STANDARD; Orphan,100% w/w,To treat molecularly long-chain fatty acid oxidation disorders,no,no,digestive,fatty acid,adults,6/30/2020
Yes,Yes,None,,ACACIA,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity and Type 4 - New Combination,Byfavo,Prescription,STANDARD,EQ 20MG BASE/VIAL,For sedation,no,no,nervous system,sedation,adults,7/2/2020
Yes,Yes,None,,VIIV HLTHCARE,"TABLET, EXTENDED RELEASE;ORAL",Type 1 - New Molecular Entity,Rukobia,Prescription,PRIORITY,EQ 600MG BASE,"
			",no,no,HIV,HIV,adults,7/2/2020
Yes,Yes,None,decitabine and cedazuridine,OTSUKA,TABLET;ORAL,Type 1 - New Molecular Entity,Inqovi,Prescription,PRIORITY; Orphan,100MG;35MG,To treat adult patients with myelodysplastic syndromes,no,no,cancer,blood,adults,7/7/2020
No,No,None,tafasitamab-cxix,MORPHOSYS US INC,INJECTABLE;INJECTION,,Monjuvi,Prescription,N/A; Orphan,12MG/KG,To treat relapsed or refractory diffuse large B-cell lymphoma,no,no,cancer,blood,adults,7/31/2020
No,No,None,belantamab mafodotin-blmf,GLAXOSMITHKLINE,INJECTABLE;INTRAVENOUS,,Blenrep,Prescription,N/A; Orphan,2.5MG/KG,To treat multiple myeloma,no,no,cancer,blood,adults,8/5/2020
Yes,No,None,nifurtimox,BAYER HEALTHCARE,TABLET;ORAL,Type 1 - New Molecular Entity,Lampit,Prescription,PRIORITY; Orphan,30MG,To treat Chagas disease in certain pediatric patients younger than age 18,no,no,insect bite,Chagas disease,children,8/6/2020
Yes,Yes,None,nifurtimox,BAYER HEALTHCARE,TABLET;ORAL,Type 1 - New Molecular Entity,Lampit,Prescription,PRIORITY; Orphan,120MG,To treat Chagas disease in certain pediatric patients younger than age 18,no,no,insect bite,Chagas disease,children,8/6/2020
Yes,Yes,None,risdiplam,GENENTECH INC,FOR SOLUTION;ORAL,Type 1 - New Molecular Entity,Evrysdi,Prescription,PRIORITY; Orphan,0.75MG/ML,To treat spinal muscular atrophy,no,no,muscular,muscular,adults,8/7/2020
Yes,Yes,None,oliceridine,TREVENA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Olinvyk,Prescription,STANDARD,1MG/ML (1MG/ML),To manage acute pain in certain adults,no,no,muscular,muscular,adults,8/7/2020
Yes,Yes,None,oliceridine,TREVENA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Olinvyk,Prescription,STANDARD,2MG/2ML (1MG/ML),To manage acute pain in certain adults,no,no,muscular,muscular,adults,8/7/2020
Yes,Yes,None,oliceridine,TREVENA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Olinvyk,Prescription,STANDARD,30MG/30ML (1MG/ML),To manage acute pain in certain adults,no,no,muscular,muscular,adults,8/7/2020
Yes,Yes,None,viltolarsen,NIPPON SHINYAKU,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Viltepso,Prescription,PRIORITY; Orphan,250MG/5ML (50MG/ML),To treat Duchenne muscular dystrophy,yes,yes,muscular,Duchenne muscular dystrophy,male,8/12/2020
No,No,None,satralizumab-mwge,GENENTECH,INJECTABLE;INJECTION,,Enspryng,Prescription,N/A; Orphan,120MG/ML,To treat neuromyelitis optica spectrum disorder,no,no,neurology,neurology,adults,8/14/2020
Yes,No,None,clascoterone,CASSIOPEA SPA,CREAM;TOPICAL,Type 1 - New Molecular Entity,Winlevi,Discontinued,STANDARD,1%,To treat acne,no,no,cosmetic,acne,children,8/26/2020
No,No,None,somapacitan-beco,NOVO NORDISK INC,SOLUTION;SUBCUTANEOUS,,Sogroya,Prescription,N/A,10MG/1.5ML,Growth hormone,no,no,endocrinology,growth hormone,adults,8/28/2020
Yes,Yes,None,copper Cu 64 dotatate injection,RADIOMEDIX,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Detectnet,Prescription,PRIORITY; Orphan,4mL (1mCi/ML),To help detect certain types of neuroendocrine tumors,no,no,cancer,endocrine location,adults,9/3/2020
